location,celltype
1:102687581_102688090,spinalCord
1:104949592_104950106,mesenchyme
1:130782193_130783143,cardiomyocyte
1:168582387_168582940,cardiomyocyte
1:173844643_173845241,cardiomyocyte
1:182711272_182712006,mesenchyme
1:18961413_18961918,cardiomyocyte
1:190073227_190073755,endothelium
1:194027124_194027847,forebrain
1:21050726_21051421,cardiomyocyte
1:39688497_39689060,cardiomyocyte
1:68995334_68995908,cardiomyocyte
1:82185980_82186496,mid_hindbrain
1:90980456_90981385,cardiomyocyte
10:104684648_104685169,mesenchyme
10:118569337_118569858,cardiomyocyte
10:118747021_118747557,cardiomyocyte
10:31229027_31229569,erythroid
10:33122877_33123458,cardiomyocyte
10:3395217_3395784,erythroid
10:34091697_34092217,cardiomyocyte
10:37617649_37618198,cardiomyocyte
10:37622979_37623484,cardiomyocyte
10:40312165_40312759,forebrain
10:41332537_41333040,somitic_mesoderm
10:58382750_58383758,endothelium
10:58621051_58621660,cardiomyocyte
10:69637199_69638104,erythroid
10:88244839_88245900,endothelium
11:104616116_104616628,endothelium
11:107667506_107668072,somitic_mesoderm
11:118729250_118729773,endothelium
11:54220082_54220637,cardiomyocyte
11:69220849_69221654,cardiomyocyte
11:7055409_7055967,cardiomyocyte
11:72395634_72396147,cardiomyocyte
11:86895102_86896042,cardiomyocyte
11:94189242_94190214,endothelium
12:111682680_111683310,erythroid
12:119170572_119171077,erythroid
12:12179087_12179668,gut
12:12180783_12181312,cardiomyocyte
12:12306733_12307255,cardiomyocyte
12:12549572_12550073,cardiomyocyte
12:28997767_28998295,cardiomyocyte
12:29981636_29982182,mesenchyme
12:31568574_31569077,cardiomyocyte
12:39780247_39780766,spinalCord
12:73781376_73781877,cardiomyocyte
12:82306030_82306571,cardiomyocyte
12:83352638_83353192,cardiomyocyte
12:83483027_83483650,somitic_mesoderm
12:86152698_86153592,mesenchyme
12:95095588_95096221,cardiomyocyte
13:116186891_116187431,cardiomyocyte
13:11754895_11755398,erythroid
13:118086256_118086792,erythroid
13:12057222_12057812,cardiomyocyte
13:12313571_12314076,forebrain
13:20101480_20102084,cardiomyocyte
13:24186988_24187577,cardiomyocyte
13:43235453_43236062,erythroid
13:46443934_46444567,cardiomyocyte
13:46516066_46516593,erythroid
13:49846689_49847193,somitic_mesoderm
13:5407569_5408100,cardiomyocyte
13:90862114_90862622,cardiomyocyte
13:90886003_90886905,cardiomyocyte
13:91558162_91559149,endothelium
14:103921055_103922031,cardiomyocyte
14:106528216_106528727,cardiomyocyte
14:118001420_118002011,endothelium
14:122068751_122069331,cardiomyocyte
14:25450986_25451560,erythroid
14:31560828_31561436,cardiomyocyte
14:34613488_34614029,somitic_mesoderm
14:46950385_46951026,cardiomyocyte
14:54947509_54948134,neural_crest
14:54996683_54997276,neural_crest
14:55004162_55005189,erythroid
14:63019354_63019930,cardiomyocyte
14:63368813_63369397,cardiomyocyte
14:73041015_73041516,endothelium
14:75773337_75773850,cardiomyocyte
14:7809579_7810086,cardiomyocyte
14:79004381_79004898,cardiomyocyte
14:81301886_81302530,cardiomyocyte
14:85930320_85930840,cardiomyocyte
14:9259519_9260464,spinalCord
15:27997449_27997954,cardiomyocyte
15:36854906_36855979,cardiomyocyte
15:58258623_58259133,erythroid
15:58283054_58283623,cardiomyocyte
15:88023587_88024135,cardiomyocyte
15:93005567_93006414,endothelium
15:93698333_93698908,cardiomyocyte
15:99500228_99500837,cardiomyocyte
16:14265372_14265937,cardiomyocyte
16:21293438_21293997,cardiomyocyte
16:30790492_30791132,cardiomyocyte
16:38653289_38653872,erythroid
16:5431049_5431596,somitic_mesoderm
16:59517311_59518027,forebrain
16:96212981_96213516,erythroid
16:96877332_96877925,cardiomyocyte
17:25467837_25468358,endothelium
17:26850448_26850950,erythroid
17:26865164_26865668,cardiomyocyte
17:26868658_26869219,neural_crest
17:46239606_46240179,cardiomyocyte
17:48726363_48726956,cardiomyocyte
17:5101830_5102382,cardiomyocyte
17:81781408_81782013,cardiomyocyte
17:83231305_83231847,gut
17:85564022_85564576,cardiomyocyte
17:86303448_86304029,spinalCord
18:3876707_3877339,gut
18:4303971_4304487,somitic_mesoderm
18:52976292_52976793,erythroid
18:55136977_55137728,spinalCord
18:61682459_61683467,somitic_mesoderm
18:72890189_72890696,cardiomyocyte
18:75505477_75506000,cardiomyocyte
19:30623552_30624069,mesenchyme
19:34239359_34239926,erythroid
19:36682521_36683065,cardiomyocyte
19:40511802_40512593,somitic_mesoderm
19:4992839_4993345,cardiomyocyte
19:53801714_53802215,erythroid
19:56974154_56974738,cardiomyocyte
19:5811887_5812628,cardiomyocyte
19:60292583_60293112,spinalCord
2:103603151_103603654,cardiomyocyte
2:106651941_106652645,cardiomyocyte
2:106656297_106656856,endothelium
2:114046099_114046612,gut
2:120098550_120099262,cardiomyocyte
2:131514012_131514577,erythroid
2:143870882_143871410,erythroid
2:165100674_165101242,cardiomyocyte
2:173087261_173087889,cardiomyocyte
2:178493873_178494499,mesenchyme
2:17932231_17933117,somitic_mesoderm
2:180339814_180340316,erythroid
2:180362890_180363412,erythroid
2:31341929_31342434,erythroid
2:3170796_3171349,erythroid
2:51058117_51059081,spinalCord
2:6098834_6099415,cardiomyocyte
2:64959469_64960463,cardiomyocyte
2:76806269_76806838,cardiomyocyte
2:91060719_91061492,erythroid
3:101804198_101804869,cardiomyocyte
3:123070955_123071477,somitic_mesoderm
3:128297992_128298493,somitic_mesoderm
3:132831089_132831659,cardiomyocyte
3:135641459_135641965,mesenchyme
3:143092242_143092814,erythroid
3:147287415_147287983,erythroid
3:152133529_152134030,erythroid
3:18702965_18703547,cardiomyocyte
3:20149113_20149632,cardiomyocyte
3:30258342_30258865,erythroid
3:39779903_39780408,cardiomyocyte
3:84626566_84627148,cardiomyocyte
3:86687759_86688310,endothelium
3:8893368_8893987,cardiomyocyte
3:94987489_94988056,cardiomyocyte
4:100284172_100285183,erythroid
4:105100898_105101417,erythroid
4:107961887_107962476,cardiomyocyte
4:114358715_114359358,endothelium
4:114411145_114411772,cardiomyocyte
4:117609100_117609885,endothelium
4:119054181_119054692,erythroid
4:119512551_119513101,cardiomyocyte
4:119662054_119662583,cardiomyocyte
4:120885286_120886237,endothelium
4:13156825_13157530,cardiomyocyte
4:141425262_141426058,cardiomyocyte
4:37821044_37821649,cardiomyocyte
4:45444730_45445338,cardiomyocyte
4:48548436_48548996,cardiomyocyte
4:57793593_57794178,cardiomyocyte
4:66894545_66895057,cardiomyocyte
4:8707894_8708412,gut
4:87662730_87663341,somitic_mesoderm
5:10196780_10197347,erythroid
5:107129262_107129813,cardiomyocyte
5:112933070_112933625,cardiomyocyte
5:116450483_116451012,cardiomyocyte
5:118621614_118622298,spinalCord
5:119856961_119857464,cardiomyocyte
5:122092654_122093233,neural_crest
5:122094380_122094983,cardiomyocyte
5:124234039_124234671,neural_crest
5:124840125_124840649,cardiomyocyte
5:134787934_134788819,erythroid
5:148271950_148272521,cardiomyocyte
5:24337337_24337838,cardiomyocyte
5:32272605_32273108,cardiomyocyte
5:35921473_35921977,cardiomyocyte
5:51439706_51440311,cardiomyocyte
5:52021671_52022172,cardiomyocyte
5:53519946_53520678,forebrain
5:67822441_67822942,forebrain
5:72896548_72897416,cardiomyocyte
5:74205985_74206569,cardiomyocyte
5:97980478_97981050,somitic_mesoderm
6:119098169_119098793,mid_hindbrain
6:119204269_119205248,erythroid
6:120149983_120150504,cardiomyocyte
6:120216609_120217238,cardiomyocyte
6:121053378_121054026,cardiomyocyte
6:124426578_124427110,mid_hindbrain
6:145443987_145444504,neural_crest
6:145462645_145463211,cardiomyocyte
6:30572650_30573222,cardiomyocyte
6:48010570_48011195,cardiomyocyte
6:51334823_51335324,cardiomyocyte
